name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,country,id,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,teamId,shirtNumber,jerseyNumber,position,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelLost,challengeLost,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,keeperSaveValue,ratingVersions,totalShots,goalsPrevented,passValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,totalCross,aerialLost,aerialWon,duelWon,totalContest,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,penaltyConceded,wasFouled,fouls,topSpeed,kilometersCovered,numberOfSprints,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,dribbleValueNormalized,metersCoveredRunningKm,metersCoveredHighSpeedRunningKm,metersCoveredSprintingKm,dispossessed,totalClearance,wonContest,clearanceOffLine,lastManTackle,blockedScoringAttempt,expectedGoals,keyPass,shotValueNormalized,bigChanceCreated,shotOffTarget,bigChanceMissed,onTargetScoringAttempt,expectedGoalsOnTarget,goals,totalOffside,totalKeeperSweeper,accurateKeeperSweeper,penaltyWon,accurateCross,errorLeadToAShot,teamName,captain,match_id,home_team,away_team,home_score,away_score,tournament,season,status,start_time
Kylian Mbappé,,,kylian-mbappe,K. Mbappé,F,10,180,2386963,M,KMbappe,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",826643,EUR,914112000,"{'value': 191000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيليان مبابي', 'bn': 'কিলিয়ান এমবাপ্পে', 'hi': 'किलियन एमबाप्पे', 'ru': 'Килиан Мбаппе'}, 'shortNameTranslation': {'ar': 'ك. مبابي', 'bn': 'কে. এমবাপ্পে', 'hi': 'के. एमबाप्पे', 'ru': 'К. Мбаппе'}}",4481,10,10,F,FALSE,32,28,4,3,1,3,3,25,29,14,2,,,,,,90,61,9.9,18,0.732517,,"{'original': 9.9, 'alternative': 8.9}",8,,0.65,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,1,,2,7,,,,,2,,,,34.27,8.29,10,236.9844161,21,173.2657968,36.11218158,163.1719588,10,1,1.04,0.28,0.13,6,,2,,,2,1.398,2,0.8,1,2,1,4,1.9351,2,2,,,,,,France,TRUE,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,1784408400
Dayot Upamecano,Dayot,Upamecano,dayot-upamecano,D. Upamecano,D,2,185,21007,M,Upamecano,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",798583,EUR,909446400,"{'value': 65000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دايوت أوباميكانو', 'bn': 'ডেওট উপমেকানো', 'hi': 'दयोत उपामेकानो', 'ru': 'Дайот Упамекано'}, 'shortNameTranslation': {'ar': 'د. أوباميكانو', 'bn': 'ডি. উপমেকানো', 'hi': 'डी. उपामेकानो', 'ru': 'Д. Упамекано'}}",4481,4,4,D,TRUE,13,12,1,1,1,4,4,8,9,6,5,3,,,,,45,22,6.6,1,0.00542382,,"{'original': 6.6, 'alternative': 6.8}",1,,0.3,-0.48,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,3,,,2,3,1,,,,1,31.59,4.73,9,56.43274796,7,47.4254271,15.60524302,28.893595,2,0.14,0.53,0.25,0.19,,1,,,,,0.0304,1,0.12,1,,,1,0.3064,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,1784408400
Lucas Digne,,,lucas-digne,L. Digne,D,12,178,13031,M,LDigne,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",96538,EUR,743126400,"{'value': 5500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكاس دينييه', 'bn': 'লুকাস ডিগনে', 'hi': 'लुकास डिग्ने', 'ru': 'Лукас Динь'}, 'shortNameTranslation': {'ar': 'ل. دينييه', 'bn': 'এল. ডিগনে', 'hi': 'एल. डिग्ने', 'ru': 'Л. Динь'}}",4481,3,3,D,TRUE,16,15,,,0,6,6,9,10,3,,2,,,,,45,23,6.2,4,0.0272299,,"{'original': 6.2, 'alternative': 6.3}",0,,0.02,-0.34,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,,3,3,1,,1,,,,,,2,29.2,4.91,5,57.81057372,6,41.26557335,,,0,0.04,0.82,0.26,0.08,,2,,,,,,,,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,1784408400
Ousmane Dembélé,Ousmane,Dembele,ousmane-dembele,O. Dembélé,F,10,178,384397,M,ODembele,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",818244,EUR,863654400,"{'value': 97000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'عثمان ديمبيلي', 'bn': 'উসমান ডেম্বেলে', 'hi': 'उस्मान डेम्बेले', 'ru': 'Усман Дембеле'}, 'shortNameTranslation': {'ar': 'ع. ديمبيلي', 'bn': 'ও. ডেম্বেলে', 'hi': 'ओ. डेम्बेले', 'ru': 'У. Дембеле'}}",4481,7,7,F,TRUE,29,25,1,1,0,5,5,20,24,2,2,2,,,,,45,34,8.3,5,0.599123,,"{'original': 8.3, 'alternative': 8.1}",2,,0.4,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,,,2,1,,,,,,,1,,32.6,5.03,10,117.1618098,15,96.63879564,20.40985403,81.49068272,7,0.49,0.91,0.37,0.15,,,1,,,,0.481,2,0.48,1,,,2,1.0032,1,1,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,1784408400
Bradley Barcola,,,barcola-bradley,B. Barcola,F,29,182,50628,M,bradley_b,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",996952,EUR,1030924800,"{'value': 68000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برادلي باركولا', 'bn': 'বারকোলা, ব্র্যাডলি', 'hi': 'बारकोला, ब्रैडली', 'ru': 'Брэдли Баркола'}, 'shortNameTranslation': {'ar': 'ب. باركولا', 'bn': 'বি. বারকোলা', 'hi': 'बी. बारकोला', 'ru': 'Б. Баркола'}}",4481,12,12,F,TRUE,12,12,,,0,3,3,9,9,5,2,2,,,,,45,20,7.7,2,0.0508359,,"{'original': 7.7, 'alternative': 7.3}",2,,0.08,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,2,1,,,1,1,1,,,2,34.5,4.84,7,88.63678641,8,65.31039371,18.87997737,61.70812491,4,0.52,0.57,0.26,0.12,1,,1,,,1,0.4106,1,0.47,,,,1,0.803,1,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,1784408400
Jules Koundé,Jules,Kounde,jules-kounde,J. Koundé,D,23,180,168332,M,JKounde,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",827212,EUR,910828800,"{'value': 64000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوليس كوندي', 'bn': 'জুলস কাউন্ডে', 'hi': 'जूल्स कौंडे', 'ru': 'Жюль Кунде'}, 'shortNameTranslation': {'ar': 'ج. كوندي', 'bn': 'জে. কাউন্ডে', 'hi': 'जे. कौंडे', 'ru': 'Ж. Кунде'}}",4481,5,5,D,TRUE,5,5,,,0,1,1,4,4,1,1,1,,,,,8,5,6.3,,0.00949252,,"{'original': 6.3, 'alternative': 6.2}",0,,0.13,-0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,29.9,0.75,3,17.24826278,1,14.73109261,14.73109261,17.24826278,1,0.02,0.11,0.1,0.04,,,,,,,,,,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,1784408400
Robin Risser,Robin Risser,,robin-risser,R. Risser,G,40,193,2750,M,b7krwa,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",1387161,EUR,1101945600,"{'value': 31000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روبن ريسر', 'bn': 'রবিন রিসার', 'hi': 'रॉबिन रिसर', 'ru': 'Робин Риссер'}, 'shortNameTranslation': {'ar': 'ر. ريسر', 'bn': 'আর. রিসার', 'hi': 'आर. रिसर', 'ru': 'Р. Риссер'}}",4481,23,23,G,TRUE,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,1784408400
Brice Samba,Brice,Samba,brice-samba,B. Samba,G,30,186,3744,M,xqcjft,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",164055,EUR,767232000,"{'value': 6500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برايس سامبا', 'bn': 'ব্রাইস সাম্বা', 'hi': 'ब्राइस साम्बा', 'ru': 'Брис Самба'}, 'shortNameTranslation': {'ar': 'ب. سامبا', 'bn': 'বি. সাম্বা', 'hi': 'बी. साम्बा', 'ru': 'Б. Самба'}}",4481,1,1,G,TRUE,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,1784408400
Lucas Hernández,,,lucas-hernandez,L. Hernández,D,21,183,14340,M,lucashernandez21,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",352370,EUR,824256000,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكاس هيرنانديز', 'bn': 'লুকাস হার্নান্দেজ', 'hi': 'लुकास हर्नांडेज़', 'ru': 'Лукас Эрнандес'}, 'shortNameTranslation': {'ar': 'ل. هيرنانديز', 'bn': 'এল. হার্নান্দেজ', 'hi': 'एल. हर्नांडेज़', 'ru': 'Л. Эрнандес'}}",4481,21,21,D,TRUE,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,1784408400
William Saliba,William,Saliba,william-saliba,W. Saliba,D,2,193,52686,M,WSaliba4,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",941168,EUR,985392000,"{'value': 94000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويليام ساليبا', 'bn': 'উইলিয়াম সালিবা', 'hi': 'विलियम सलीबा', 'ru': 'Уильям Салиба'}, 'shortNameTranslation': {'ar': 'و. ساليبا', 'bn': 'ডব্লিউ. সালিবা', 'hi': 'डब्लू. सलीबा', 'ru': 'У. Салиба'}}",4481,17,17,D,TRUE,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,1784408400
Aurélien Tchouaméni,Aurelien,Tchouameni,aurelien-tchouameni,A. Tchouaméni,M,14,188,164195,M,ATchouameni,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",859025,EUR,948931200,"{'value': 73000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوريليان تشواميني', 'bn': 'অরেলিয়ান চৌমেনি', 'hi': 'ऑरेलियन टचौमेनी', 'ru': 'Орельен Тчуамени'}, 'shortNameTranslation': {'ar': 'أ. تشواميني', 'bn': 'এ. চৌমেনি', 'hi': 'ए. टचौमेनी', 'ru': 'О. Тчуамени'}}",4481,8,8,M,TRUE,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,1784408400
Maghnes Akliouche,,,maghnes-akliouche,M. Akliouche,M,11,183,10380,M,iwvgyc,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",1130939,EUR,1014595200,"{'value': 49000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماغنيس أكليوش', 'bn': 'ম্যাগনেস আকলিউচে', 'hi': 'माघनेस अक्लिओचे', 'ru': 'Магнес Аклиуш'}, 'shortNameTranslation': {'ar': 'م. أكليوش', 'bn': 'এম. আকলিউচে', 'hi': 'एम. अक्लिओचे', 'ru': 'М. Аклиуш'}}",4481,25,25,M,TRUE,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,1784408400
Manu Koné,,,manu-kone,M. Koné,M,17,186,20064,M,6ggbdw,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",974087,EUR,990057600,"{'value': 47000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مانو كوني', 'bn': 'মনু কোনে', 'hi': 'मनु कोने', 'ru': 'Ману Коне'}, 'shortNameTranslation': {'ar': 'م. كوني', 'bn': 'এম. কোনে', 'hi': 'एम. कोने', 'ru': 'М. Коне'}}",4481,6,6,M,TRUE,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,1784408400
